date,total_events,new_repos,python_repos
2021-04-16,406976,124173,0
2021-04-17,302999,106831,0
2021-04-18,309960,110127,0
2021-04-19,580882,120319,0
2021-04-20,549062,133221,0
2021-04-21,449239,136624,0
2021-04-22,449236,123134,0
2021-04-23,389140,126494,0
2021-04-24,313083,110636,0
2021-04-25,319006,116287,0
2021-04-26,569737,138738,0
2021-04-27,459784,139515,0
2021-04-28,453143,135918,0
2021-04-29,462057,125068,0
2021-04-30,587506,76601,0
2021-05-01,298584,102274,0
2021-05-02,288568,102660,0
2021-05-03,415842,130086,0
2021-05-04,430388,133355,0
2021-05-05,437874,131412,0
2021-05-06,570695,128824,0
2021-05-07,340707,54596,0
2021-05-09,602004,49446,0
2021-05-12,526773,128956,0
2021-05-13,429884,126992,0
2021-05-14,379121,120855,0
2021-05-15,296183,106296,0
2021-05-16,313740,116213,0
2021-05-17,477004,140558,0
2021-05-18,485253,141488,0
2021-05-19,576008,133350,0
2021-05-20,537682,98982,0
2021-05-21,432076,128190,0
2021-05-22,299858,109728,0
2021-05-23,321182,112008,0
2021-05-24,483552,138872,0
2021-05-25,743904,130709,0
2021-05-26,838453,128888,0
2021-05-27,699757,131986,0
2021-05-28,1241903,118183,0
2021-05-29,376986,109913,0
2021-05-30,397901,112787,0
2021-05-31,449642,134446,0
2021-06-01,477991,133411,0
2021-06-02,496973,130338,0
2021-06-03,475243,143437,0
2021-06-04,462566,121614,0
2021-06-05,561516,111995,0
2021-06-06,522044,116107,0
2021-06-07,535108,142219,0
2021-06-08,794991,116833,0
2021-06-09,463109,134508,0
2021-06-10,490804,119457,0
2021-06-11,738521,124143,0
2021-06-12,399793,106476,0
2021-06-13,306807,128236,0
2021-06-14,436799,134015,0
2021-06-15,475926,137093,0
2021-06-16,682326,129911,0
2021-06-17,600349,135441,0
2021-06-18,419644,126192,0
2021-06-19,285918,106094,0
2021-06-20,286313,106658,0
2021-06-21,469452,136949,0
2021-06-22,448301,139537,0
2021-06-23,428595,135508,0
2021-06-24,407288,132058,0
2021-06-25,382421,124476,0
2021-06-26,284692,106243,0
2021-06-27,290256,110150,0
2021-06-28,444004,131061,0
2021-06-29,509690,137301,0
2021-06-30,464832,138090,0
2021-07-01,499717,133234,0
2021-07-02,406592,129789,0
2021-07-03,288885,110497,0
2021-07-04,289310,110162,0
2021-07-05,449121,137018,0
2021-07-06,433646,141749,0
2021-07-07,438979,136299,0
2021-07-08,422324,131803,0
2021-07-09,393068,123082,0
2021-07-10,279950,109622,0
2021-07-11,301805,116944,0
2021-07-12,493659,142416,0
2021-07-13,775593,143052,0
2021-07-14,444695,151390,0
2021-07-15,442856,159409,0
2021-07-16,413820,161322,0
2021-07-17,305292,133926,0
2021-07-18,278431,105224,0
