date,total_events,new_repos
2022-07-27,554191,164651
2022-07-28,537463,156690
2022-07-29,555488,142468
2022-07-30,384972,115065
2022-07-31,392799,119268
2022-08-01,618904,149360
2022-08-02,573962,156666
2022-08-03,551378,155090
2022-08-04,525556,154761
2022-08-05,506822,144629
2022-08-06,352879,121659
2022-08-07,340699,120541
2022-08-08,526305,153693
2022-08-09,532794,163242
2022-08-10,568178,157578
2022-08-11,496330,150577
2022-08-12,443127,139318
2022-08-13,318884,115483
2022-08-14,322958,117155
2022-08-15,533677,148185
2022-08-16,524151,167964
2022-08-17,520667,168651
2022-08-18,518997,163328
2022-08-19,487207,151689
2022-08-20,348848,128391
2022-08-21,356912,130977
2022-08-22,574544,167315
2022-08-23,580285,178418
2022-08-24,565876,178039
2022-08-25,543878,175217
2022-08-26,501284,155507
2022-08-27,373475,126100
2022-08-28,340782,124099
2022-08-29,595478,168673
2022-08-30,598542,172557
2022-08-31,654445,175571
2022-09-01,559616,167735
2022-09-02,489311,157998
2022-09-03,349671,127818
2022-09-04,359144,126984
2022-09-05,588057,171464
2022-09-06,559158,178637
2022-09-07,547069,174973
2022-09-08,829873,177445
2022-09-09,574172,170029
2022-09-10,399877,141073
2022-09-11,394578,140519
2022-09-12,588328,172271
2022-09-13,595526,180328
2022-09-14,567606,175114
2022-09-15,581248,173882
2022-09-16,552088,162512
2022-09-17,391022,136760
2022-09-18,415603,142852
2022-09-19,622979,184254
2022-09-20,594634,192386
2022-09-21,653829,203171
2022-09-22,652476,208469
2022-09-23,605218,193610
2022-09-24,454129,171386
2022-09-25,455509,167822
2022-09-26,671111,197833
2022-09-27,646541,211011
2022-09-28,662271,218372
2022-09-29,729883,240466
2022-09-30,741356,209088
2022-10-01,576317,197226
2022-10-02,600887,234017
2022-10-03,805661,263729
2022-10-04,769649,270845
2022-10-05,916105,290089
2022-10-06,1084354,285272
2022-10-07,860775,331773
2022-10-08,776127,326905
2022-10-09,778973,326020
2022-10-10,924453,333532
2022-10-11,865691,316997
2022-10-12,917374,301776
2022-10-13,828084,304038
2022-10-14,747021,263194
2022-10-15,612722,239724
2022-10-16,653213,259993
2022-10-17,900368,299673
2022-10-18,837859,298766
2022-10-19,846816,274439
2022-10-20,841940,249084
2022-10-21,716878,241322
2022-10-22,594595,236005
